contest_id,problem,unique_solvers,participants,reach_rate
AWC0031,D,27,204,0.1324
AWC0031,E,28,204,0.1373
AWC0019,E,44,286,0.1538
AWC0038,E,37,237,0.1561
AWC0040,E,33,201,0.1642
AWC0021,E,65,277,0.2347
AWC0003,E,253,904,0.2799
AWC0026,E,82,278,0.295
AWC0027,E,87,273,0.3187
AWC0024,E,81,241,0.3361
AWC0007,E,155,457,0.3392
AWC0016,E,107,314,0.3408
AWC0034,E,87,232,0.375
AWC0032,E,83,221,0.3756
AWC0011,E,122,324,0.3765
AWC0020,E,106,269,0.3941
AWC0025,E,104,263,0.3954
AWC0030,E,104,261,0.3985
AWC0036,E,91,225,0.4044
AWC0037,D,109,261,0.4176
AWC0041,E,75,173,0.4335
AWC0018,E,128,293,0.4369
AWC0039,E,108,246,0.439
AWC0004,D,321,730,0.4397
AWC0040,D,89,201,0.4428
AWC0025,D,118,263,0.4487
AWC0037,E,120,261,0.4598
AWC0022,E,122,264,0.4621
AWC0023,E,116,250,0.464
AWC0029,E,105,226,0.4646
AWC0013,E,171,365,0.4685
AWC0005,D,333,694,0.4798
AWC0015,E,150,311,0.4823
AWC0021,D,136,277,0.491
AWC0006,D,238,474,0.5021
AWC0010,E,196,389,0.5039
AWC0041,D,88,173,0.5087
AWC0014,C,182,357,0.5098
AWC0023,D,128,250,0.512
AWC0001,D,635,1231,0.5158
AWC0005,E,361,694,0.5202
AWC0020,D,140,269,0.5204
AWC0014,E,187,357,0.5238
AWC0017,E,160,302,0.5298
AWC0033,E,132,248,0.5323
AWC0004,E,389,730,0.5329
AWC0002,E,492,921,0.5342
AWC0038,D,127,237,0.5359
AWC0035,E,121,224,0.5402
AWC0022,D,146,264,0.553
AWC0012,E,182,327,0.5566
AWC0001,E,693,1231,0.563
AWC0030,D,148,261,0.567
AWC0028,E,153,266,0.5752
AWC0006,E,276,474,0.5823
AWC0027,D,159,273,0.5824
AWC0009,D,226,382,0.5916
AWC0008,E,294,494,0.5951
AWC0026,D,167,278,0.6007
AWC0014,D,217,357,0.6078
AWC0035,D,138,224,0.6161
AWC0036,C,140,225,0.6222
AWC0018,C,183,293,0.6246
AWC0035,C,140,224,0.625
AWC0005,C,435,694,0.6268
AWC0007,D,287,457,0.628
AWC0009,E,240,382,0.6283
AWC0033,C,157,248,0.6331
AWC0003,D,575,904,0.6361
AWC0034,C,148,232,0.6379
AWC0036,D,144,225,0.64
AWC0033,D,160,248,0.6452
AWC0016,D,203,314,0.6465
AWC0018,D,192,293,0.6553
AWC0013,D,242,365,0.663
AWC0012,D,218,327,0.6667
AWC0037,C,174,261,0.6667
AWC0017,D,203,302,0.6722
AWC0011,C,219,324,0.6759
AWC0008,D,338,494,0.6842
AWC0034,D,159,232,0.6853
AWC0011,D,223,324,0.6883
AWC0028,D,184,266,0.6917
AWC0031,C,144,204,0.7059
AWC0041,B,123,173,0.711
AWC0039,D,178,246,0.7236
AWC0014,B,260,357,0.7283
AWC0019,D,210,286,0.7343
AWC0002,D,683,921,0.7416
AWC0029,D,169,226,0.7478
AWC0007,C,344,457,0.7527
AWC0021,C,209,277,0.7545
AWC0021,B,210,277,0.7581
AWC0032,D,168,221,0.7602
AWC0020,B,205,269,0.7621
AWC0041,C,133,173,0.7688
AWC0018,B,226,293,0.7713
AWC0015,D,240,311,0.7717
AWC0022,C,204,264,0.7727
AWC0032,C,172,221,0.7783
AWC0015,C,243,311,0.7814
AWC0038,C,187,237,0.789
AWC0007,B,362,457,0.7921
AWC0024,C,192,241,0.7967
AWC0025,B,210,263,0.7985
AWC0035,B,180,224,0.8036
AWC0025,C,212,263,0.8061
AWC0004,C,589,730,0.8068
AWC0024,D,196,241,0.8133
AWC0037,B,213,261,0.8161
AWC0039,C,201,246,0.8171
AWC0040,C,165,201,0.8209
AWC0010,C,320,389,0.8226
AWC0028,C,220,266,0.8271
AWC0030,B,216,261,0.8276
AWC0030,C,216,261,0.8276
AWC0012,C,271,327,0.8287
AWC0002,C,767,921,0.8328
AWC0010,D,324,389,0.8329
AWC0003,C,757,904,0.8374
AWC0031,A,171,204,0.8382
AWC0011,B,272,324,0.8395
AWC0020,C,226,269,0.8401
AWC0032,B,186,221,0.8416
AWC0013,B,308,365,0.8438
AWC0001,C,1041,1231,0.8457
AWC0027,C,232,273,0.8498
AWC0009,C,325,382,0.8508
AWC0017,C,257,302,0.851
AWC0039,B,210,246,0.8537
AWC0040,B,172,201,0.8557
AWC0001,B,1055,1231,0.857
AWC0028,B,228,266,0.8571
AWC0013,C,313,365,0.8575
AWC0008,C,425,494,0.8603
AWC0031,B,176,204,0.8627
AWC0024,B,209,241,0.8672
AWC0022,B,229,264,0.8674
AWC0023,B,217,250,0.868
AWC0012,B,285,327,0.8716
AWC0023,C,218,250,0.872
AWC0016,C,274,314,0.8726
AWC0026,C,243,278,0.8741
AWC0006,C,416,474,0.8776
AWC0038,B,209,237,0.8819
AWC0033,B,219,248,0.8831
AWC0032,A,196,221,0.8869
AWC0019,C,254,286,0.8881
AWC0011,A,288,324,0.8889
AWC0036,A,200,225,0.8889
AWC0036,B,200,225,0.8889
AWC0039,A,219,246,0.8902
AWC0041,A,154,173,0.8902
AWC0002,B,821,921,0.8914
AWC0027,B,244,273,0.8938
AWC0029,B,202,226,0.8938
AWC0020,A,241,269,0.8959
AWC0035,A,201,224,0.8973
AWC0009,B,343,382,0.8979
AWC0026,B,250,278,0.8993
AWC0006,B,429,474,0.9051
AWC0034,B,210,232,0.9052
AWC0022,A,240,264,0.9091
AWC0003,B,823,904,0.9104
AWC0029,C,206,226,0.9115
AWC0005,B,633,694,0.9121
AWC0014,A,326,357,0.9132
AWC0026,A,255,278,0.9173
AWC0004,B,670,730,0.9178
AWC0040,A,185,201,0.9204
AWC0017,B,278,302,0.9205
AWC0019,B,264,286,0.9231
AWC0021,A,256,277,0.9242
AWC0008,B,458,494,0.9271
AWC0038,A,220,237,0.9283
AWC0034,A,216,232,0.931
AWC0013,A,340,365,0.9315
AWC0030,A,244,261,0.9349
AWC0029,A,212,226,0.9381
AWC0025,A,247,263,0.9392
AWC0023,A,235,250,0.94
AWC0010,B,366,389,0.9409
AWC0027,A,257,273,0.9414
AWC0024,A,227,241,0.9419
AWC0008,A,466,494,0.9433
AWC0033,A,234,248,0.9435
AWC0019,A,270,286,0.9441
AWC0012,A,309,327,0.945
AWC0015,B,294,311,0.9453
AWC0037,A,247,261,0.9464
AWC0016,B,298,314,0.949
AWC0010,A,370,389,0.9512
AWC0018,A,280,293,0.9556
AWC0015,A,298,311,0.9582
AWC0028,A,255,266,0.9586
AWC0007,A,439,457,0.9606
AWC0002,A,885,921,0.9609
AWC0005,A,668,694,0.9625
AWC0017,A,292,302,0.9669
AWC0004,A,706,730,0.9671
AWC0006,A,459,474,0.9684
AWC0003,A,878,904,0.9712
AWC0009,A,371,382,0.9712
AWC0001,A,1197,1231,0.9724
AWC0016,A,309,314,0.9841
